Chronologic VCS simulator copyright 1991-2018
Contains Synopsys proprietary information.
Compiler version O-2018.09-SP2_Full64; Runtime version O-2018.09-SP2_Full64;  Feb  9 15:13 2026
*Verdi* Loading libsscore_vcs201809.so
FSDB Dumper for VCS, Release Verdi_O-2018.09-SP2, Linux x86_64/64bit, 02/21/2019
(C) 1996 - 2019 by Synopsys, Inc.
*Verdi* FSDB WARNING: The FSDB file already exists. Overwriting the FSDB file may crash the programs that are using this file.
*Verdi* : Create FSDB file '/home/jay/Desktop/graduation_project/rtl/testbench.fsdb'
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : Enable +all dumping.
*Verdi* : End of traversing.
[DBG] cycle=0 pc=0x80000000
[DBG-T] t=2361000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2371000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2381000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2391000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2401000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2411000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2421000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2431000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2441000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2451000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2461000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2471000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2481000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2491000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2501000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2511000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2521000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2531000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2541000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2551000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2561000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2571000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2581000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2591000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2601000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2611000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2621000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2631000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2641000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2651000 rst=0 pc=0xxxxxxxxx
